source,target,type,weight
2601258594,796309949768957952,Directed,1
106086098,796309949768957952,Directed,1
533536556,796309949768957952,Directed,1
2723185474,796309949768957952,Directed,1
2940722500,796309949768957952,Directed,1
630367566,796309949768957952,Directed,1
4124637371,796309949768957952,Directed,1
443551180,796309949768957952,Directed,1
237300872,91815118,Directed,1
630367566,91815118,Directed,1
551174114,91815118,Directed,1
4249561767,807697646102212609,Directed,1
2163310968,807697646102212609,Directed,1
1092215178,807697646102212609,Directed,1
175334832,807697646102212609,Directed,1
3248658911,2591993874,Directed,1
2717217147,2591993874,Directed,1
798600121,2591993874,Directed,1
930518624,2976628755,Directed,1
322233579,2976628755,Directed,1
344992558,2976628755,Directed,1
195830419,724185110,Directed,1
294753579,724185110,Directed,1
1308602820,724185110,Directed,1
32660008,294508085,Directed,1
2333848675,294508085,Directed,1
335553215,294508085,Directed,1
452944514,294508085,Directed,1
69729458,294508085,Directed,1
344161473,294508085,Directed,1
106086098,294508085,Directed,1
233548506,294508085,Directed,1
797971200,294508085,Directed,1
344992558,294508085,Directed,1
532567918,294508085,Directed,1
108036479,294508085,Directed,1
227821453,294508085,Directed,1
1686757266,294508085,Directed,1
80641348,294508085,Directed,1
345944506,294508085,Directed,1
1308602820,294508085,Directed,1
501944828,294508085,Directed,1
2748923637,5954502,Directed,1
797971200,5954502,Directed,1
2163310968,5954502,Directed,1
75919854,5954502,Directed,1
697562296059588608,769993053763502084,Directed,1
2333848675,769993053763502084,Directed,1
452944514,769993053763502084,Directed,1
344161473,769993053763502084,Directed,1
1363013874,769993053763502084,Directed,1
1004909329,769993053763502084,Directed,1
1686757266,769993053763502084,Directed,1
80641348,769993053763502084,Directed,1
345944506,769993053763502084,Directed,1
501944828,769993053763502084,Directed,1
67318883,206018589,Directed,1
1941673615,206018589,Directed,1
797971200,206018589,Directed,1
294753579,206018589,Directed,1
630367566,206018589,Directed,1
697562296059588608,507877406,Directed,1
2422623238,507877406,Directed,1
288246284,507877406,Directed,1
401477209,507877406,Directed,1
32660008,507877406,Directed,1
2333848675,507877406,Directed,1
335553215,507877406,Directed,1
237300872,507877406,Directed,1
1941673615,507877406,Directed,1
195830419,507877406,Directed,1
290650341,507877406,Directed,1
621285612,507877406,Directed,1
3108464907,507877406,Directed,1
106853150,507877406,Directed,1
294753579,507877406,Directed,1
344992558,507877406,Directed,1
3248658911,507877406,Directed,1
532567918,507877406,Directed,1
2163310968,507877406,Directed,1
1092215178,507877406,Directed,1
250912657,507877406,Directed,1
1686757266,507877406,Directed,1
80641348,507877406,Directed,1
175334832,507877406,Directed,1
1308602820,507877406,Directed,1
501944828,507877406,Directed,1
400393919,2520223776,Directed,1
294753579,2520223776,Directed,1
568107376,2520223776,Directed,1
3193917928,2520223776,Directed,1
335553215,35673776,Directed,1
1524419966,35673776,Directed,1
551174114,35673776,Directed,1
630367566,749986048546050048,Directed,1
1686757266,749986048546050048,Directed,1
501944828,749986048546050048,Directed,1
237300872,758236802998206465,Directed,1
322233579,758236802998206465,Directed,1
3248658911,758236802998206465,Directed,1
169122143,758236802998206465,Directed,1
2163310968,758236802998206465,Directed,1
175334832,758236802998206465,Directed,1
704783919930068994,2422623238,Directed,1
461280342,2422623238,Directed,1
288246284,2422623238,Directed,1
820685731450552322,2422623238,Directed,1
401477209,2422623238,Directed,1
2740742208,2422623238,Directed,1
930518624,2422623238,Directed,1
4040881750,2422623238,Directed,1
592007767,2422623238,Directed,1
114288729,2422623238,Directed,1
53332060,2422623238,Directed,1
203065438,2422623238,Directed,1
3414762592,2422623238,Directed,1
2333848675,2422623238,Directed,1
1031704176,2422623238,Directed,1
335553215,2422623238,Directed,1
237300872,2422623238,Directed,1
195830419,2422623238,Directed,1
1040695459,2422623238,Directed,1
4249561767,2422623238,Directed,1
574221482,2422623238,Directed,1
625979067,2422623238,Directed,1
236918471,2422623238,Directed,1
2297687756,2422623238,Directed,1
475746939,2422623238,Directed,1
701362882429263872,2422623238,Directed,1
621285612,2422623238,Directed,1
598187305,2422623238,Directed,1
181709561,2422623238,Directed,1
2394728189,2422623238,Directed,1
371736833,2422623238,Directed,1
764021907171663872,2422623238,Directed,1
849339692,2422623238,Directed,1
3108464907,2422623238,Directed,1
1004909329,2422623238,Directed,1
774339360,2422623238,Directed,1
294753579,2422623238,Directed,1
344992558,2422623238,Directed,1
3248658911,2422623238,Directed,1
795078984,2422623238,Directed,1
169122143,2422623238,Directed,1
2163310968,2422623238,Directed,1
926535049,2422623238,Directed,1
755316620,2422623238,Directed,1
227821453,2422623238,Directed,1
1686757266,2422623238,Directed,1
636429203,2422623238,Directed,1
891177368,2422623238,Directed,1
900508574,2422623238,Directed,1
903639980,2422623238,Directed,1
1558004148,2422623238,Directed,1
798600121,2422623238,Directed,1
1308602820,2422623238,Directed,1
4893140956,2422623238,Directed,1
1339439076,2422623238,Directed,1
2289439224,2422623238,Directed,1
138098169,2422623238,Directed,1
501944828,2422623238,Directed,1
32660008,701040678,Directed,1
1040695459,701040678,Directed,1
625979067,701040678,Directed,1
400393919,701040678,Directed,1
774339360,701040678,Directed,1
626328552,701040678,Directed,1
2304802170,701040678,Directed,1
926535049,701040678,Directed,1
250912657,701040678,Directed,1
2422623238,155576359,Directed,1
2747566647,155576359,Directed,1
237300872,155576359,Directed,1
625979067,155576359,Directed,1
475746939,155576359,Directed,1
621285612,155576359,Directed,1
344992558,155576359,Directed,1
67318883,2445072732,Directed,1
246973630,2445072732,Directed,1
106086098,2445072732,Directed,1
2394728189,2445072732,Directed,1
1004909329,2445072732,Directed,1
2566158898,2445072732,Directed,1
795078984,2445072732,Directed,1
169122143,2445072732,Directed,1
900508574,2445072732,Directed,1
1558004148,2445072732,Directed,1
798600121,2445072732,Directed,1
344161473,754689074930352128,Directed,1
797971200,754689074930352128,Directed,1
630367566,754689074930352128,Directed,1
401477209,1870546988,Directed,1
2163310968,1870546988,Directed,1
236443603,1870546988,Directed,1
461280342,2498989746,Directed,1
930518624,2498989746,Directed,1
67318883,2498989746,Directed,1
2601258594,2498989746,Directed,1
452944514,2498989746,Directed,1
236918471,2498989746,Directed,1
849339692,2498989746,Directed,1
2723185474,2498989746,Directed,1
795078984,2498989746,Directed,1
630367566,2498989746,Directed,1
636429203,2498989746,Directed,1
903639980,2498989746,Directed,1
1339439076,2498989746,Directed,1
2289439224,2498989746,Directed,1
53332060,470908799,Directed,1
2304802170,470908799,Directed,1
108036479,470908799,Directed,1
4040881750,1948846128,Directed,1
53332060,1948846128,Directed,1
335553215,1948846128,Directed,1
1040695459,1948846128,Directed,1
344161473,1948846128,Directed,1
236918471,1948846128,Directed,1
533536556,1948846128,Directed,1
2566158898,1948846128,Directed,1
795078984,1948846128,Directed,1
630367566,1948846128,Directed,1
108036479,1948846128,Directed,1
1543913862,1948846128,Directed,1
755316620,1948846128,Directed,1
1686757266,1948846128,Directed,1
903639980,1948846128,Directed,1
798600121,1948846128,Directed,1
831804464,1536995378,Directed,1
67318883,1536995378,Directed,1
2601258594,1536995378,Directed,1
1040695459,1536995378,Directed,1
625979067,1536995378,Directed,1
106086098,1536995378,Directed,1
233548506,1536995378,Directed,1
411064560,1536995378,Directed,1
797971200,1536995378,Directed,1
4759048456,1536995378,Directed,1
106853150,1536995378,Directed,1
986846172,1536995378,Directed,1
533536556,1536995378,Directed,1
231187264,1536995378,Directed,1
2723185474,1536995378,Directed,1
2940722500,1536995378,Directed,1
630367566,1536995378,Directed,1
3404645212,1536995378,Directed,1
47148388,1536995378,Directed,1
1524419966,1536995378,Directed,1
1308602820,1536995378,Directed,1
796800012122521600,1536995378,Directed,1
551174114,1536995378,Directed,1
501944828,1536995378,Directed,1
