,id,label,politics,art,society,charity,interest
820,1650479899,cemalgunaydn,0.10059171597633136,0.20710059171597633,0.378698224852071,0.3136094674556213,society
821,106853150,emre_keskus,0.2389937106918239,0.24528301886792453,0.23270440251572327,0.2830188679245283,charity
822,299258658,zeynebsultan,0.102803738317757,0.17757009345794392,0.34579439252336447,0.37383177570093457,charity
823,786972526069047297,yusufelbasi,0.23333333333333334,0.13333333333333333,0.43333333333333335,0.2,society
824,260931036,suleyld,0.3148148148148148,0.19444444444444445,0.25,0.24074074074074073,politics
825,628790092,Fikrsiz,0.24550898203592814,0.1317365269461078,0.2754491017964072,0.3473053892215569,charity
826,2796041040,bsrdgc1,0.18285714285714286,0.11428571428571428,0.35428571428571426,0.3485714285714286,society
827,877908818,tesnimozdinc,0,0,0,0,n/a
828,120099687,banaelifde,0,0,0,0,n/a
829,1013674856,lltoprak,0,0,0,0,n/a
830,224727919,beyjey,0,0,0,0,n/a
831,780447210420969472,surhewz,0.15730337078651685,0.2247191011235955,0.3707865168539326,0.24719101123595505,society
832,195842934,ssewecen,0.21311475409836064,0.14754098360655737,0.34972677595628415,0.2896174863387978,society
833,777599584164016128,ozguralik,0.20408163265306123,0.08163265306122448,0.46938775510204084,0.24489795918367346,society
834,230724488,BirKizBirOglan,0.0625,0.2916666666666667,0.40625,0.23958333333333334,society
835,1039307658,esoruc,0.1724137931034483,0.22413793103448276,0.3218390804597701,0.28160919540229884,society
836,756202942416490496,hamza_sis,0.25,0.0,0.375,0.375,charity
837,42415009,reyyanmunire,0.13903743315508021,0.17647058823529413,0.37433155080213903,0.31016042780748665,society
838,228807587,huseyinikizoglu,0.17801047120418848,0.17277486910994763,0.3298429319371728,0.3193717277486911,society
839,782277126468825089,Sumeyra_Ozturk_,0.08235294117647059,0.2,0.35294117647058826,0.36470588235294116,charity
840,229425990,ZenginGurkan,0.4263157894736842,0.07894736842105263,0.19473684210526315,0.3,politics
841,903639980,mervesenel_,0,0,0,0,n/a
842,3068335031,ibrahimcansu_,0,0,0,0,n/a
843,150426555,bernottit,0,0,0,0,n/a
844,14668733,kral,0.0,0.0,0.5,0.5,charity
845,1572910016,RamadanTent,0,0,0,0,n/a
846,226939842,ZeynepIlkkursun,0.18055555555555555,0.1388888888888889,0.4861111111111111,0.19444444444444445,society
847,609301446,SehirHUKUK,0.14516129032258066,0.10752688172043011,0.5268817204301075,0.22043010752688172,society
848,2413204429,y_sarfati,0.35454545454545455,0.17272727272727273,0.2636363636363636,0.20909090909090908,politics
849,321942480,mrvaldg,0,0,0,0,n/a
850,2887332821,AlperenDuymus,0,0,0,0,n/a
851,986846172,Aljalmoud,0.0,0.0,1.0,0.0,society
852,1421513695,mhmmdklss,0.16666666666666666,0.17204301075268819,0.34408602150537637,0.3172043010752688,society
853,1544049488,AliPulcu,0.28205128205128205,0.14871794871794872,0.18461538461538463,0.38461538461538464,charity
854,774355646267482112,alihaliduslu,0.20833333333333334,0.07291666666666667,0.2760416666666667,0.4427083333333333,charity
855,841682908284878848,sehircareerfest,0.09230769230769231,0.35384615384615387,0.4307692307692308,0.12307692307692308,society
856,504378378,mustafazengins,0.372972972972973,0.10810810810810811,0.16756756756756758,0.35135135135135137,politics
857,425096207,Kan3anio,0.0,0.0,0.0,1.0,charity
858,700593168,FZehraErcan,0.21212121212121213,0.06060606060606061,0.3333333333333333,0.3939393939393939,charity
859,127341585,makifmemmi,0.42473118279569894,0.14516129032258066,0.27419354838709675,0.15591397849462366,politics
860,352637977,gulucukgulucuk,0,0,0,0,n/a
